# package_versions_rhel9.txt - RHEL9 variant (SLU) - generated 2026-08-27
# Image: dgilli/baseimage-selkies:rhel9-p1 (10bbd70e1502)
# REPO key: ubi9-base = vanilla UBI9 layer | rhel9 = RH-signed, installed from entitled rhel-9-for-x86_64-* repos (subscription-manager container mode)
#           epel = EPEL9 (desktop delta) | python = /lsiopy venv (selkies 348bc4f + deps)
#
NAME                                                                          VERSION                                 TYPE      REPO
kernel-headers                                                         5.14.0-687.42.1.el9_8.x86_64             rpm      rhel9
glibc-headers                                                          2.34-275.el9_8.x86_64                    rpm      ubi9-base
libstdc++-devel                                                        11.5.0-14.el9.x86_64                     rpm      ubi9-base
python3.11-setuptools-wheel                                            65.5.1-5.el9.noarch                      rpm      rhel9
mpdecimal                                                              2.5.1-3.el9.x86_64                       rpm      ubi9-base
libxcrypt-compat                                                       4.4.18-3.el9.x86_64                      rpm      ubi9-base
python3.11-pip-wheel                                                   22.3.1-6.el9.noarch                      rpm      rhel9
python3.11                                                             3.11.13-10.el9_8.x86_64                  rpm      rhel9
python3.11-libs                                                        3.11.13-10.el9_8.x86_64                  rpm      rhel9
make                                                                   4.3-8.el9.x86_64                         rpm      rhel9
pkgconf-m4                                                             1.7.3-10.el9.noarch                      rpm      rhel9
libpkgconf                                                             1.7.3-10.el9.x86_64                      rpm      rhel9
pkgconf                                                                1.7.3-10.el9.x86_64                      rpm      rhel9
pkgconf-pkg-config                                                     1.7.3-10.el9.x86_64                      rpm      rhel9
glibc-devel                                                            2.34-275.el9_8.x86_64                    rpm      ubi9-base
libxcrypt-devel                                                        4.4.18-3.el9.x86_64                      rpm      ubi9-base
gcc                                                                    11.5.0-14.el9.x86_64                     rpm      ubi9-base
gcc-c++                                                                11.5.0-14.el9.x86_64                     rpm      ubi9-base
python3.11-devel                                                       3.11.13-10.el9_8.x86_64                  rpm      rhel9
ncurses                                                                6.2-12.20210508.el9.x86_64               rpm      ubi9-base
libX11-xcb                                                             1.8.12-1.el9.x86_64                      rpm      rhel9
libwayland-client                                                      1.21.0-1.el9.x86_64                      rpm      rhel9
libICE                                                                 1.0.10-8.el9.x86_64                      rpm      rhel9
libpng                                                                 1.6.37-15.el9_8.2.x86_64                 rpm      rhel9
pixman                                                                 0.40.0-6.el9_3.x86_64                    rpm      rhel9
libogg                                                                 1.3.4-6.el9.x86_64                       rpm      rhel9
libSM                                                                  1.2.3-10.el9.x86_64                      rpm      rhel9
libjpeg-turbo                                                          2.0.90-7.el9.x86_64                      rpm      rhel9
libXau                                                                 1.0.9-8.el9.x86_64                       rpm      rhel9
libxcb                                                                 1.13.1-9.el9.x86_64                      rpm      rhel9
atk                                                                    2.36.0-5.el9.x86_64                      rpm      rhel9
mesa-filesystem                                                        25.2.7-4.el9.x86_64                      rpm      rhel9
libxshmfence                                                           1.3-10.el9.x86_64                        rpm      rhel9
xkeyboard-config                                                       2.33-2.el9.noarch                        rpm      rhel9
libxkbcommon                                                           1.0.3-4.el9.x86_64                       rpm      rhel9
libxfce4util                                                           4.18.1-2.el9.x86_64                      rpm      epel
libvorbis                                                              1.3.7-5.el9.x86_64                       rpm      rhel9
libwayland-cursor                                                      1.21.0-1.el9.x86_64                      rpm      rhel9
nginx-filesystem                                                       1.20.1-28.el9_8.5.noarch                 rpm      rhel9
spirv-tools-libs                                                       2025.4-1.el9.x86_64                      rpm      rhel9
alsa-lib                                                               1.2.15.3-1.el9.x86_64                    rpm      rhel9
gstreamer1                                                             1.22.12-3.el9.x86_64                     rpm      rhel9
orc                                                                    0.4.31-8.el9.x86_64                      rpm      rhel9
libwebp                                                                1.2.0-8.el9_3.x86_64                     rpm      rhel9
libwayland-egl                                                         1.21.0-1.el9.x86_64                      rpm      rhel9
hicolor-icon-theme                                                     0.17-13.el9.noarch                       rpm      rhel9
fribidi                                                                1.0.10-6.el9.2.x86_64                    rpm      rhel9
libepoxy                                                               1.5.5-4.el9.x86_64                       rpm      rhel9
xml-common                                                             0.6.3-58.el9.noarch                      rpm      rhel9
opus                                                                   1.3.1-10.el9.x86_64                      rpm      rhel9
libfontenc                                                             1.1.3-17.el9.x86_64                      rpm      rhel9
libXdmcp                                                               1.1.3-8.el9.x86_64                       rpm      rhel9
libglvnd                                                               1.3.4-1.el9.x86_64                       rpm      rhel9
libbrotli                                                              1.0.9-9.el9_7.x86_64                     rpm      rhel9
libgudev                                                               237-1.el9.x86_64                         rpm      rhel9
iso-codes                                                              4.6.0-3.el9.noarch                       rpm      rhel9
nginx-core                                                             1.20.1-28.el9_8.5.x86_64                 rpm      rhel9
xfconf                                                                 4.18.1-1.el9.x86_64                      rpm      epel
xcb-util                                                               0.4.0-19.el9.x86_64                      rpm      rhel9
libtheora                                                              1.1.1-31.el9.x86_64                      rpm      rhel9
